 Product ID , Flange , Work Center , Length , Task ,Time(min),, Sum of Time(min) , Column Labels ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6 , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,,, Housing Assembly ,,,,,,,,,,,,, Housing Assembly Total , Subassembly ,,, Subassembly Total , Drilling ,,, Drilling Total , Grand Total ,,,,,,,,,
 POLED , TG15 , Housing Assembly , CAD 24.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 POLED , DF , Housing Assembly , CAD 24.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 POLED , SM , Housing Assembly , CAD 24.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 WALED , TB9 , Housing Assembly , CAD 24.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 WALED , TB15 , Housing Assembly , CAD 24.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 WALED , TG9 , Housing Assembly , CAD 24.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 WALED , TG15 , Housing Assembly , CAD 24.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 WALED , DF , Housing Assembly , CAD 24.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 WALED , SM , Housing Assembly , CAD 24.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 DUO , TB9 , Housing Assembly , CAD 24.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 DUO , TG15 , Housing Assembly , CAD 24.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 DUO , TB15 , Housing Assembly , CAD 24.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 DUO , TG9 , Housing Assembly , CAD 24.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 DUO , DF , Housing Assembly , CAD 24.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 DUO , SM , Housing Assembly , CAD 24.00 , set-up ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5 , B , Housing Assembly , CAD 4.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5 , B , Drilling , CAD 4.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5 , B , Housing Assembly , CAD 8.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5 , B , Drilling , CAD 8.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5 , B , Housing Assembly , CAD 12.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5 , B , Drilling , CAD 12.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5 , BC , Housing Assembly , CAD 4.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5 , BC , Drilling , CAD 4.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5 , BC , Housing Assembly , CAD 8.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5 , BC , Drilling , CAD 8.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5 , BC , Housing Assembly , CAD 12.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5 , BC , Drilling , CAD 12.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5 , SLC , Housing Assembly , CAD 4.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5 , SLC , Drilling , CAD 4.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5 , SLC , Housing Assembly , CAD 8.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5 , SLC , Drilling , CAD 8.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5 , SLC , Housing Assembly , CAD 12.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5 , SLC , Drilling , CAD 12.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5S , B , Housing Assembly , CAD 4.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5S , B , Drilling , CAD 4.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5S , B , Housing Assembly , CAD 8.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5S , B , Drilling , CAD 8.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5S , B , Housing Assembly , CAD 12.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5S , B , Drilling , CAD 12.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5S , BC , Housing Assembly , CAD 4.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5S , BC , Drilling , CAD 4.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5S , BC , Housing Assembly , CAD 8.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5S , BC , Drilling , CAD 8.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5S , BC , Housing Assembly , CAD 12.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5S , BC , Drilling , CAD 12.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5S , SLC , Housing Assembly , CAD 4.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5S , SLC , Drilling , CAD 4.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5S , SLC , Housing Assembly , CAD 8.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5S , SLC , Drilling , CAD 8.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5S , SLC , Housing Assembly , CAD 12.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5S , SLC , Drilling , CAD 12.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5W , B , Housing Assembly , CAD 4.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5W , B , Drilling , CAD 4.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5W , B , Housing Assembly , CAD 8.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5W , B , Drilling , CAD 8.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5W , B , Housing Assembly , CAD 12.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5W , B , Drilling , CAD 12.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5W , BC , Housing Assembly , CAD 4.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5W , BC , Drilling , CAD 4.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5W , BC , Housing Assembly , CAD 8.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5W , BC , Drilling , CAD 8.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5W , BC , Housing Assembly , CAD 12.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5W , BC , Drilling , CAD 12.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5W , SLC , Housing Assembly , CAD 4.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5W , SLC , Drilling , CAD 4.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5W , SLC , Housing Assembly , CAD 8.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5W , SLC , Drilling , CAD 8.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5W , SLC , Housing Assembly , CAD 12.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 D5W , SLC , Drilling , CAD 12.00 , set-up ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
